site,OU,Plangrp,shift,Value
B,O9,O9_HBS,23||8,8
B,O9,O9_HBS,8||17,4
B,O9,O9_HMD,15||0,20
B,O9,O9_PRIMARY,10||19,26
B,O9,O9_PRIMARY,12||21,34
B,O9,O9_PRIMARY,13||22,1
B,O9,O9_PRIMARY,13.5||22.5,52
B,O9,O9_PRIMARY,15||0,17
B,O9,O9_PRIMARY,19.5||4.5,29
B,O9,O9_PRIMARY,22||7,41
B,O9,O9_PRIMARY,7||16,16
D,O2,O2 CONSUMER,10.5||19.5,1
D,O2,O2 CONSUMER,12||21,37
D,O2,O2 CONSUMER,12.5||21.5,24
D,O2,O2 CONSUMER,14||23,10
D,O2,O2 CONSUMER,16||1,1
D,O2,O2 CONSUMER,16.5||1.5,1
D,O2,O2 CONSUMER,22||7,20
D,O2,O2 CONSUMER,5.5||14.5,33
D,O2,O2 CONSUMER,6||15,18
D,O2,O2 CONSUMER,7.5||16.5,14
D,O2,O2 CONSUMER,9.5||18.5,10
D,O2,O2 ECR,6||15,4
D,O2,O2_D2,10||19,11
D,O2,O2_D2,6||15,17
D,O2,CS O8,14||23,2
D,O2,CS O8,17||2,1
D,O2,CS O8,21||6,1
D,O2,CS O8,22||7,2
D,O2,CS O8,5.5||14.5,2
D,O2,CS O8,6||15,2
D,O2,CS O8,8||17,2
D,O3,O3 Primary,12||21,90
D,O3,O3 Primary,15||0,26
D,O3,O3 Primary,17||2,65
D,O3,O3 Primary,21||6,68
D,O3,O5_DART,12||21,1
D,O3,O5_DART,17||2,1
D,O3,O5_DART,21||6,1
D,O4,O1_EN_SDS_DRIVER_RECIPIENT,10||19,1
D,O4,O1_EN_SDS_DRIVER_RECIPIENT,12||21,1
D,O4,O1_EN_SDS_DRIVER_RECIPIENT,15||0,3
D,O4,O1_EN_SDS_DRIVER_RECIPIENT,6||15,4
D,O4,O1_EN_SDS_DRIVER_RECIPIENT,7||16,2
D,O4,CS O8,10||19,32
D,O4,CS O8,12||21,6
D,O4,CS O8,21||6,4
D,O4,CS O8,6||15,4
D,O4,CS O8,9||18,4
D,O4,O4 D2,10||19,37
D,O4,O4 D2,12||21,13
D,O4,O4 D2,13||22,4
D,O4,O4 D2,14||23,3
D,O4,O4 D2,15||0,107
D,O4,O4 D2,17||2,8
D,O4,O4 D2,21||6,12
D,O4,O4 D2,6||15,3
D,O4,O4 D2,8||17,47
D,O4,O4 D2,9||18,15
D,O4,O4 D2 AT,10||19,7
D,O4,O4 D2 AT,12||21,2
D,O4,O4 D2 AT,13||22,7
D,O4,O4 D2 AT,15||0,10
D,O4,O4 D2 AT,17||2,2
D,O4,O4 D2 AT,19||4,3
D,O4,O4 D2 AT,21||6,3
D,O4,O4 D2 AT,6||15,10
D,O4,O4 D2 AT,9||18,8
D,O4,O4_BaCkOffiCe,15||0,4
D,O4,O4_BaCkOffiCe,8||17,4
D,O4,O4_CAP_CASE,12||21,1
D,O4,O4_CAP_CASE,13||22,1
D,O4,O4_CAP_CASE,15||0,6
D,O4,O4_CAP_CASE,17||2,3
D,O4,O4_CAP_CASE,21||6,1
D,O4,O4_CAP_CASE,23||8,3
D,O4,O4_CAP_CASE,6||15,2
D,O4,O4_CAP_CASE,8||17,10
D,O4,O4_Core_AssoCiate,10||19,41
D,O4,O4_D2_HO4di,10||19,3
D,O4,O4_D2_HO4di,13||22,2
D,O4,O4_D2_HO4di,15||0,5
D,O4,O4_Dart,12||21,6
D,O4,O4_Dart,13||22,4
D,O4,O4_Dart,15||0,18
D,O4,O4_Dart,6||15,10
D,O4,O4_Dart,8||17,28
D,O4,O4_ECR,10||19,39
D,O4,O4_ECR,11||20,1
D,O4,O4_ECR,12||21,4
D,O4,O4_ECR,8||17,38
D,O4,O4_HI_SDS_DRIVER_RECIPIENT,10||19,4
D,O4,O4_HI_SDS_DRIVER_RECIPIENT,12||21,13
D,O4,O4_HI_SDS_DRIVER_RECIPIENT,14||23,3
D,O4,O4_HI_SDS_DRIVER_RECIPIENT,15||0,24
D,O4,O4_HI_SDS_DRIVER_RECIPIENT,6||15,19
D,O4,O4_HI_SDS_DRIVER_RECIPIENT,8||17,4
D,O4,O4_HI_SDS_DRIVER_RECIPIENT,9||18,4
D,O4,O4_IMVT,10||19,119
D,O4,O4_IMVT,12||21,12
D,O4,O4_KA_SDS_DRIVER_RECIPIENT,12||21,6
D,O4,O4_KA_SDS_DRIVER_RECIPIENT,14||23,2
D,O4,O4_KA_SDS_DRIVER_RECIPIENT,15||0,7
D,O4,O4_KA_SDS_DRIVER_RECIPIENT,6||15,3
D,O4,O4_KA_SDS_DRIVER_RECIPIENT,8||17,2
D,O4,O4_MA_SDS_DRIVER,10||19,6
D,O4,O4_Primary_MessageUs,10||19,7
D,O4,O4_Primary_MessageUs,12||21,12
D,O4,O4_Primary_MessageUs,15||0,70
D,O4,O4_Primary_MessageUs,7||16,41
D,O4,O4_Primary_MessageUs,8||17,33
D,O4,O4_Primary_MessageUs,9||18,8
D,O4,O4_Primary_Phone,10||19,122
D,O4,O4_Primary_Phone,10||22,3
D,O4,O4_Primary_Phone,12||21,166
D,O4,O4_Primary_Phone,15||0,330
D,O4,O4_Primary_Phone,8||17,276
D,O4,O4_Primary_Phone,9||18,135
D,O4,O4_Primary_Telugu_Phone,10||19,50
D,O4,O4_Primary_Telugu_Phone,15||0,136
D,O4,O4_Primary_Telugu_Phone,8||17,172
D,O4,O4_Primary_Telugu_Phone,9||18,66
D,O4,O4_Primary_Telugu_Phone,9||21,39
D,O4,O4_SDS_CAP,10||19,69
D,O4,O4_SDS_CAP,12||21,15
D,O4,O4_SDS_CAP,13||22,19
D,O4,O4_SDS_CAP,14||23,35
D,O4,O4_SDS_CAP,15||0,38
D,O4,O4_SDS_CAP,17||2,54
D,O4,O4_SDS_CAP,19||4,10
D,O4,O4_SDS_CAP,21||6,8
D,O4,O4_SDS_CAP,6||15,22
D,O4,O4_SDS_CAP,8||17,25
D,O4,O4_SDS_CAP,9||18,29
D,O4,O4_SDS_FLEX,15||0,5
D,O4,O4_SDS_FLEX,21||6,2
D,O4,O4_SDS_FLEX,6||15,5
D,O4,O4_SNR,12||21,19
D,O4,O4_SNR,15||0,21
D,O4,O4_SNR,16||1,28
D,O4,O4_SNR,22||7,8
D,O4,O4_SNR,6||15,15
D,O4,O4_SNR,8||17,21
D,O4,O4_SNR,9||18,2
D,O4,O4_SoCial_Media,12||21,40
D,O4,O4_SoCial_Media,15||0,20
D,O4,O4_SoCial_Media,21||6,6
D,O4,O4_SoCial_Media,6||15,21
D,O4,O4_SoCial_Media,8||17,39
D,O4,O4_TA_SDS_DRIVER_RECIPIENT,10||19,1
D,O4,O4_TA_SDS_DRIVER_RECIPIENT,14||23,4
D,O4,O4_TA_SDS_DRIVER_RECIPIENT,6||15,2
D,O4,O4_TA_SDS_DRIVER_RECIPIENT,8||17,2
D,O4,O4_TE_SDS_DRIVER_RECIPIENT,12||21,13
D,O4,O4_TE_SDS_DRIVER_RECIPIENT,14||23,4
D,O4,O4_TE_SDS_DRIVER_RECIPIENT,15||0,2
D,O4,O4_TE_SDS_DRIVER_RECIPIENT,6||15,4
D,O4,O4_TE_SDS_DRIVER_RECIPIENT,8||17,2
D,O4,O4_TE_SDS_DRIVER_RECIPIENT,9||18,5
D,O4,Non-CS,12||21,3
D,O4,Non-CS,15||0,9
D,O4,Non-CS,21||6,4
D,O4,Non-CS,6||15,2
D,O4,Non-CS,8||17,4
D,O4,Non-CS,9||18,1
D,O4,Non-CS,9||21,1
D,O4,Unmapped PlannO4gGroup,14||23,3
D,O4,Unmapped PlannO4gGroup,7||16,3
D,O5,O5_DART,12||21,3
